sample_index,source_trace_index,case_id,variant_frequency,trace_length,trace_sha256,alignment_cost
1,2055,180175,1,62,699aeca59eab4a3bcd82953ff11a57937fcf2929f23c2f222ac6c253ac499e16,0
2,371,174851,1,68,a808b332878785e18f8eacd7ca37b6038156e4e874898210477041357781bc11,0
3,6364,193497,1,42,120dc16c8ee81524d0126e870e11cfa6ff338ad362fb05f72e15bd595a6fb06b,0
4,5584,191085,1,48,10ba9de5814bf2a91daba2a29cf26f3b7982ddfebd1c040131c8492de89fff35,0
5,5045,189403,1,37,3112c22a745ef6f346036ef074f936bd4d666c60cb1f053e6ef3bd0e83acba08,0
6,2646,181987,1,32,4c89780b27d83fbc4953da7cced10a44df97d0c2354ad9cbe13d48a5932042fb,0
7,1869,179567,3,22,7beda5541f72e58c085dce9808d09d54cb92c928a7f63fa2bb26e2ec8a01ed34,0
8,1558,178590,1,54,38cc27c1faaaba602281326cda24282891614a7201ae217ea041e49806de271d,0
9,10167,205364,1,57,437b33c7228e41df0faccb9f6634a9b81e9a7411883fa294d844470f8c413fb3,0
10,477,175177,1,48,5118944a89e4a410faae7d50fd8025982f6ad4a8c323749f862746ff9dc5d077,0
11,436,175054,2,33,9da18b2f0d46725a213a6029c428483fc120dddd344e32a2ca79ef07d33b271a,0
12,1689,179023,1,26,69f17fa9272d6f90c612d5141c30d3ed96a622ba964f0ab0b23fff1adfd08689,0
13,4916,189016,1,26,b9ccaa68cc67f9647fee192814a4cf594f7dfb2aff54250f455c95e6a8ba851b,0
14,5304,190213,1,58,36484e0e68c5702822053503a95f7494f400fdf1fa5a7a5b08182b8a31458b25,0
15,12374,212196,1,55,59fedc50f645a7f1264549292f4aee1de9ec0931c64cd5941803ce128a4f2f37,0
16,392,174914,6,22,98431bed94596f3f0eebce8ce1055636b275bbb55b159298403dea36552585de,0
17,4334,187178,1,38,fc2cf128e025508cd9d385b7e14196945b4ee31ac0f2239ce2ade97e9d47f313,0
18,10110,205179,2,27,dfafecf5c34adff77ce00ba89e14c5362151fbc9f1bc4cc38a98c57f42b888eb,0
19,4947,189109,1,43,5f54c03893090e5592a811a5756f5a2d6f0c12b9fa40e1cf430b716d012c84b7,0
20,10805,207380,1,44,e45eed8b1ab22ca278a7a8816ee6671fd45d9a1a88be1734dbc7a36f1b74f728,0
21,6483,193855,1,44,b6c6e0902300b905da51aaad0dc802d8f976b024b74170cf7b4239e1eb3954fa,0
22,84,173937,27,32,3012ab635b9a1fdcae2f4d13f97e175faa9ea20b73ac9f7d967e9d07083f2c8d,0
23,3056,183232,1,38,a33fdb38a727123231e70a5653f9bf18804799617a588cd3f18f95a04a7750b5,0
24,10184,205415,1,34,212f2ffdaf5506bf362a273716ada6d8148b2198a8da2473129e9eac24146d30,0
25,8001,198606,3,27,28db97e36dd61f20c0dba380ef63f76bb8ac133df618edbdee33a6b1a2a64272,0
26,6480,193846,1,33,ba2a34fc309effda796b71285dbfdeb445f19220abbd3f55d82029cfa7247654,0
27,2960,182939,1,44,938bd424a0bc7862f0a04fb3b01bddbf73fc15433da428923386adde44436f43,0
28,4814,188678,2,23,133f7e3febf5b16307568e851987ee59aa6a84c1b1888ffc43a7c430b8e56553,0
29,7914,198334,1,46,16ad90a8a4ce7109a2f6c6eb37ace77478786b3875e27ec5a620180987ad1c25,0
30,1862,179546,1,40,62b3ec4a700511031b4f781d0d8c68242dd780af21957fb98538b1695fb1742d,0
31,1668,178942,1,76,cf49bb8664682e47d53d826acb36b9a01db5540a84741ede801139dae6198d8e,0
32,9048,201888,1,30,d7534fa69ee7c231ab9a2bee950c6c584f12cd698923ffb3b4cd26cec3f25a45,0
33,1766,179254,2,22,38d96201678d3676e1388c7537f1517561484ee5f128646033a4fc0fbaad3d5a,0
34,8507,200173,1,64,075fd1d075ca0f4d784d07a892a9e4d422ad8ae51cdef84288e1d32c2252cb14,0
35,8101,198906,1,26,c46f2ff12e7c12942d96924caaf80b237337ee696492e249eabaa87f000b8680,0
36,6093,192665,1,39,1513655812af02d5a0437781d82d0f054cc17a919f5316a50efbcfa416b26342,0
37,677,175807,1,36,1156e19d6566c7414094561beb66b43500b1d0db61c2d58699546ab5c698e72b,0
38,11117,208337,1,67,6eb1ff73def0e10ed3d584e11c1afb52d50853d5f23cd945167ba8d93eea7ab7,0
39,2325,180998,1,48,263f924c61e3834ce8bba102697d88bc6bda0f6b18b3a29ed8ed53bf7dc64479,0
40,9018,201779,1,41,6e9b0637f80972d11ba7423b1c9675db325720d1e0d21921ea556d3aa1ffb826,0
41,1363,177965,1,34,53b777bd9858d7022c7180592f183608cb8ce291d0fd21368d35d8109bd0a90c,0
42,6850,195036,1,48,322b022542d46fe1e9e1ed8d445708f8e3b0c9b03f0d33da5c51a141280eeecc,0
43,8580,200392,1,38,45ea381b30a0f025e66272c2d94d143846350f03d3899c47ed8df58f3f470547,0
44,4024,186235,1,41,b49b1a5800ef30d5d05b1e37611c9208a92eb008c917df28bf917fbac0e49314,0
45,1167,177350,11,37,62dbd58d0349374842d5f726bd673dce9edfd9ac0df49c416ff6a8b085153218,0
46,737,175997,1,35,23abd4a6a7346586d85933742d2ebd07c9780b9ea1dfe4499690c034b11f2553,0
47,5168,189784,1,44,33978088f7c3e64fc1ea59e95f40a49789156a1eae841786746624cb6b24aa79,0
48,6757,194719,1,32,2a1b65e1f85853d3d0da41dd4c933c30fbf068ae36b3219bdc90d8637bede3c5,0
49,1374,177998,1,52,1c1131b11ee6d4f7ca0cc701df2f1a5eeb6e725629dbce9dd42dd5facc93397b,0
50,5313,190240,1,42,ad8a1d2fe00e5e28b9366a66baec5dc53f5c788209d7f753de1d805409b7238d,0
51,1840,179480,4,31,ba568c9b210e26b536c084fafaaf6d99e90d7cbabd6b4de153201b7fc522ac8c,0
52,9049,201891,1,45,c2197c75c725e9d784239ecdd18d970d942b4c890aa30e428ad935a8b70b44fa,0
53,6481,193849,1,63,f45c64cea76d28e7ab1052aa9b40c4319eb8869a7d34157afde915ec48076bdf,0
54,10953,207831,1,42,fcdcee65cb3d156d98e2fc279abc3a2e8466881c2eb0c8fc78cd1f243cb95f7a,0
55,8676,200707,1,29,f6d75f2195269e19ebab3a051b3bd3306e619e607ab8de64099da3334ab03d09,0
56,3133,183483,1,42,c461be318b0966b06a70097d849beaa1c1585139e92063712772132232054aed,0
57,8818,201144,1,38,7fe4aa0d3be22b016fcff8ac26e3d6ec75cae5710716c649b29eb25c72b1e450,0
58,8397,199824,1,35,1a18cacf11d3e17a58ca41ae2719b36350c806c8ab4fe64d4aceb16705de505b,0
59,4689,188283,5,25,cbe1bc9875d2c14c2279ed239148af33f7073286547315027e16e5297f509b3b,0
60,6147,192828,2,34,3bf0b6e25e6912a0f593f1248c1f0cb4e262241fa27d5bb05d75149beb037dd4,0
61,1212,177501,1,28,18da1f957134a5c3f22d4113bccb8d480de824909367be713c621b005a179d98,0
62,3459,184484,1,39,b21e0cf06c0d09f30974009b205b6dfb82b571e1d0d4e0458ea968c54fc1fb20,0
63,5581,191076,2,28,d6b377b492ed0b2df447884db7ca264ec7a142a8a68524c45e9eefae650dd767,0
64,3143,183513,12,12,0948341df9ec5a77c6381b4c285b3e3722ebe3826d8f9b7c7b886f7afa8a23b2,0
65,11190,208556,1,41,66edbd4368d2788f274befd5496c3d975b698e48a42fdec7020f43c3b4c1fe10,0
66,9041,201848,1,47,c1c75d94e87ebc4920b09d9334b00982b30a87e93f6f3cb832016bb5b846b68d,0
67,6236,193095,2,30,5e333206786477a51554123616749b36ad5e64de8692630771115654572ecef4,0
68,4938,189082,1,40,1aa7ac02657207bc29d5ff728bb0ad9e99cca017a9630b3213d6c31bceb148ff,0
69,7576,197297,1,54,f7ddd83d02b5d6d4b152078a36d855e46c8f1d4b635df1cac955a8bac1b2031a,0
70,910,176542,1,125,e0ad558fa9cc15d7794a27e34e9c08c770e93c3fc3d2ce80c0156e476f003bc8,0
71,5205,189895,2,29,c429f9f2b1ecdece10eb452c329a522821a6f97a824920cb25e6d2e943fc6a8d,0
72,479,175183,1,32,359d38e0d0950df795f8c405a84de690917d823a93cc8e239f1e283e93844e15,0
73,7363,196648,1,63,99e64020d4f1238565e8ae87acec979e3e4ebbd8040cfa748fe509adeb327485,0
74,9592,203585,1,35,9d0dd5fa82503a9de7da80e507f628f15f0dfcc39c883f13c5d63a58d1ca4c22,0
75,6177,192918,1,36,b0ea020a0bd0a5947d59b4f197c219cb4896d0d6706bd56f2253b918bafe0b15,0
76,1095,177134,1,80,0b07c39de304dd961df2513e9bfc349c2e44d217babc74435c1fe247b6db6c0f,0
77,4728,188401,1,60,fb1b87fb19c1ca8344831ebe4474efb2720de50bb6b89f3a139a67b378f8f655,0
78,7348,196581,1,61,01fe93192d7c17d3d9eb4dbe7a630d704bcd8f9f92342f70ec732104ba623c8f,0
79,4761,188500,1,49,cbc714454a39c90af28866bffd311978fb7922ef3a8db133b1186d05495f0efe,0
80,12170,211570,1,38,fe93f1b714108ff053d5399d9890a81fe60cc49a4222ee6156c5bb5fa318fcfa,0
81,9486,203251,1,36,0ad90f82a385491c24960fdcf6f6bce7266d0da038503892dc4d0d3e7691b6c3,0
82,11091,208259,1,66,a27ab2aaf26f838442fee2d3e52c794d7a314339565ddc7fdebabc05f2622c13,0
83,2704,182164,1,29,0d70448282cd122e5e6f0bd5b02c4066e5530d2c8faafa4dcfdc6a1809ce1dd5,0
84,6101,192689,2,27,b6bcabd1dd0d7e416880c0dcb3912fd75185643f1f8e7ee49c1bde85f88bc855,0
85,5635,191248,1,38,210497f0fdff00bd02198a540d54fa9fc7434a62c585f87ad0c7cb3c103dda83,0
86,6064,192578,2,30,b07d17b461c200254d32023db0a0c711b81693b1b07a61750891f967e5f3c4a5,0
87,10311,205837,1,29,8bb8e75b71384224ac0fb3574066659feddca176c0c1243cb794f471ce103c81,0
88,9551,203462,1,47,c3bba7a899acb1789b865999ee4cade2e33593723bbbd7779e8b5c871b92ea77,0
89,8608,200503,1,35,4b988e5f4b2661ff2dcbe1e9a22f04371c4a64f75e21489e3e57f7e3844d45f6,0
90,4929,189055,1,31,d95627290506d7a662eddab33c0defa692ca1f4d1aba0e701c7b05a55e4398ad,0
91,2623,181918,1,46,0a9a7980463b018e2d94a804c7a53ac9d0533c1ac526dbe668f9adfad97275b4,0
92,12491,212548,1,33,97ae8009715067624f3e2b6b73a3181ec7ed096b4b07af282e1d4b4a3dcc3ff6,0
93,12012,211086,1,23,f8bf4343ed4f4a491b30e725b84b1f11c0131c6a796c0ac68770f0e596820104,0
94,1636,178846,1,34,76f14cf0380ff04ea67e580760ed20661deacef6c18a234f9a57ef8613683619,0
95,758,176060,3,24,3fefcd4917b2eb29bc5ee08ba918cc3029b470cd8a6debc1566fa2b7a6089058,0
96,2018,180040,1,28,b512e9997373257fde376861efc03fc250e2f6676eab20f255b32bfda0129856,0
97,2904,182771,2,40,c630c11f90a50a0747dff56237cd624d7b7d0a2ad11b5e1c4f8cba38856d3f27,0
98,3059,183241,1,28,806f4e8c241897d7f39dd926e65c29004977eea9c75c0e1a1ad22bf657c355c9,0
99,10172,205379,1,32,8fc7c76ecdf9869f5d0ebaaf15d288f12efc0b47de20aac22d434b916b6a2f2e,0
100,1043,176960,1,50,89da9ffa8d5d318aa07fbb08b5d010ae98adab3ab157655adfb3e3184b198a4f,0
101,9181,202292,1,29,c6783ce3814363a52a6b82c733325781edda6c2d2240939d6ec9e4e452fa02e7,0
102,9092,202020,1,37,4a95992c6c9b396cc5e609c15a20af95ac10f523e2a466cf917cf5405f2b6cbd,0
103,11345,209021,1,38,33abdaf00824df648caab3fd9b54cbcbc749673a3aaf071690a9ea7efbef8f0f,0
104,12977,214046,1,72,676b268b3ebc5186b26b129ff02472946c13ba9c421854f928dd7f8421fdb8ca,0
105,5764,191644,1,128,c1598acfc135fc65e8dca4770fe5af0e9cc0dc16d6b8b44cb6449babd9bf9a61,0
106,154,174159,1,60,a2d23483c4ee0170bbc2e3f3f93e74974a707f7d4411c05657f4954c7790bbc7,0
107,2116,180358,1,51,d31a29510d66205876b2d591dad446a5533c15fdeac400d0b15e1ab0a94b608c,0
108,6135,192791,1,32,ce3a49b65e4db0a18f7096d81bf6396a6c0823ec137db97ad5ffa5e10b810176,0
109,7998,198597,1,46,bd231b2f81d26fd5de88798055f1491c469c9038f317c5e176dc52c6c763070d,0
110,2056,180178,1,20,f8355de73cfd0feffc90a0383f84ada45130afd4199271b06cabadbe69d46dc1,0
111,6853,195045,1,38,76500614ed130d4454d82f2992e612f4b5849734aa241ad5eb78c4b171268b80,0
112,10450,206264,1,68,59710bb005435f41c2596fca576246774870bf2a86d54a9320a1525432c80263,0
113,3029,183151,1,42,6aa0f9b8a39bf9e6f597d4955f421476e8d92272fa17cfc02d0596a1377ef918,0
114,10960,207852,1,34,7c823e24e04894d03678ba9a6a6f79104e37785f9eb74502794df355d6cd5f0b,0
115,34,173787,2,35,0e31ec4478122911f15bc0db96b824486e5b5af6a7d934932685239105df3703,0
116,6074,192608,1,52,21d24622f59d753368a92a63b8c4650969caa9e51684e31809c072710a633716,0
117,12215,211706,1,33,1d128a7090a7808124833cd519c799aca6d2b009ecd3151e177e5b5d29339b3b,0
118,3662,185111,1,47,bd67bb5a022c69a49d3d743f734da714e2077bb93fbd8f593a87c6107a40d26d,0
119,12429,212361,1,42,e8b81ee96212f5097aae60f2d6b08e6bab874ca57b15976bb55fa8193b73a1ab,0
120,1952,179829,1,38,0fd82c2d0c5c135f4cd3765ba045b1a39dc6a3a1fe70df223a0ccfa5d4a31d4d,0
121,6946,195344,1,29,42b465da1d5affae3d72a4a949203c702482e5ea67e684dfc125c43ecb8253c9,0
122,4337,187187,1,30,49211c4707884a47e250ad7b195882fc0d17fe7468ad4e5e3e244777ed230a83,0
123,8910,201439,1,50,a856ddbfeb35e6d626795e95b174420e64f266543da525fe20818a6ec8ce05a8,0
124,3086,183342,1,30,fef102b4da3d0b2d57fbe787a198217f3b609a4c8649f09a63153b3b0016e72b,0
125,13019,214172,1,43,d5189f0b98bd0970e68b96e1deb1a9381993fddf9b3396b17558ddbc16c19a20,0
126,6,173703,87,9,79984c20398491801f9f2ba7aa87161702ac98581e67b78802879305c2d66185,0
127,7572,197285,1,59,883a2671c8eb2608efc5af99acd0eed22e93a3e4dc2e5f404ec9ca6807b42fca,0
128,11891,210719,1,41,4ae11f3b0e0566aa825b096a61bd3b98546f93c21dc14b5bd8016d723a99effa,0
129,277,174541,1,41,222e89374eab25a490e6091827dca44b74add75f43f9a2520e8779147ee42ba5,0
130,2061,180193,1,61,d2baf325c0a719e8382bea5f20439e0f707e549f080941252458fee83b138855,0
131,8630,200569,1,50,7b5a6312a1a86db2d03b8eae33c3e56a206511be365116cd8eaa56e5c400e8aa,0
132,7170,196045,1,43,feff848f18825babff4ea54985e03048381cf62ef35da343a7be8337467a37b5,0
133,5472,190749,1,34,539a5aab25da33401165f4a152ecd397b4db11852213a9f4f460b7c76e8b2f2f,0
134,948,176657,1,44,b0d72a58f6d3f3ec28d35d5260ca4ac96fe26c6eac692b100177ace303041561,0
135,5498,190827,1,30,77882e837e51e9ce6e39124e0891a600b49ee7ed88560715a504c11d9451b1e1,0
136,1527,178497,4,33,ce2e92e66f0540bffacc0b55a375dcab1ef18d522a222f75b3f4f878fd9e80de,0
137,11831,210539,1,33,90ed7e1d1847de3f397d5dfea52e173b75b3467549d171039d290f6633290da0,0
138,1160,177329,1,44,feafdcdb838dc340b53c6366dca7ad3632b2b80007352cb02e08f7afe7babdcf,0
139,13082,214361,1,28,89dcd59d2eb1a5ee50af92b883afe445363f5b7c3fc1b88a1a58b3ec3a5ffba3,0
140,2351,181076,1,28,10e030300319184a5803759b9730f6590b090add13ab31559f6eb3780e7e638c,0
141,2404,181240,1,34,f73b412be0c3b91b6b06ae0eeff82dacc77c32125204ae6ae7dd9e69885f0542,0
142,11538,209634,5,10,0711537269b088aa6f37b0bd2a0efda60d802c8a1310130fd8ec432024e967d4,0
143,3177,183619,1,41,2139122b300c67b08c06344e6b70bb6e63d4078a479f4ab645d5e683f6e5d54d,0
144,6105,192701,1,27,27252297d11a18e9c4ed56dd07a6da0ab2b4043a382266ea26bd017d5882dcfb,0
145,12946,213948,1,23,94eb415765297def06f565b35be527747d35771ba0cc3de83ac808677be63d56,0
146,10199,205465,1,41,86f0b3c4dc526c19d7c306ea69ec9e69c382caba1b8fb11ba9176098832320ab,0
147,4749,188464,1,65,3e4dd43065ce3e2439b9a5758475e20ede3ea5317c4b6ea31e0e4d39a811a3ce,0
148,4399,187373,1,32,6e9fbb5f3e6b890af853d675c2b845af13ef366a6f9462a285b1a8cac83f05f8,0
149,7287,196398,1,84,6fe146168da133612bcc72c58f22a8a666b4d0e07b15bed2fe7143f0089e3766,0
150,9544,203428,1,68,1036b0616e42ef45087031e8a5a19162020e6506d3d96f4fd1bc6f99a605b12a,0
151,8896,201397,1,48,8e87f8be53b9c79a60ce3328697e840d9a7c5bfa46dcc0b4ca5501828ae1ed41,0
152,10509,206441,1,42,6b9e10a180ae2a3003ea888fed523bdf676bf806e7e2ee946892366ef3596d57,0
153,12684,213141,1,20,ef167eda8a6282e1608a30b294e23175ccc81e6cde7b0130e32cb44bf9ea66b1,0
154,10883,207614,1,28,bf9c4731410029108e49a01d98351a4462ce2e8ec2bba9777945434a26824dfe,0
155,2242,180745,1,48,e87a5d84fc40eeea230eb29a981b761b4cae58233e7ae9277a76ec4810f6a0bb,0
156,5677,191374,1,49,e717855368a5594725e62d56f208c6983e609322b0bc13236a63cf41ba498b46,0
157,5082,189517,4,22,166310cadc53e6e1395aea0bbb4844a95acae930fc1abeb89699018356d77f4c,0
158,1049,176978,1,30,606fa31c0e64dcc2545069835054d32143a17b93cb07a901770e12b63619929a,0
159,7942,198418,1,24,7e74da22c0032c19428e2ed4afad5ec637bf8e4a94963a072b57a3504a4a20b4,0
160,299,174635,2,28,b8ac21a158fa2c0d4fadffa3a9dadf14635182fae0ec234fcdbf3b760c05a787,0
161,5224,189952,1,32,e33d4cca7ec05f599fc5df15527dc69f55550ff711a0f82c2af16305b6621658,0
162,4946,189106,6,24,8a64500eb2e7eb6691bcacc419f1cab03cf2ff2e900f458bcd1bcc2bc816025d,0
163,90,173955,1,89,e70a5455164b1d2a241b5df3f8f3217ac4a4880a34f1147a794adba170e92d44,0
164,1205,177480,11,20,f11b4289e1f8151d7903cc280822a5c00af4ac7ccbfe254d6b88127e11075d00,0
165,967,176714,1,80,9bb09a206254e3a9fa2dab9447a390fbf1a2048d68921f157850301c55134ace,0
166,5201,189883,1,40,82bfc1147834ebaed6460251d1b5b04e479590313affe232ae783d20228051d4,0
167,1120,177209,1,32,db4a3b1def76dc2664360eecf6eddea8454c5afac6122bbf69504f7e102f2c2a,0
